[description:"diagramm classes facultatif" end:"1591627395" entry:"1590746372" modified:"1591627396" project:"bd" status:"completed" uuid:"98f41e81-f9c5-4a9f-8246-77fafacb7691"]
[description:"diagramme en relation" end:"1591627396" entry:"1590746399" modified:"1591627396" project:"bd" status:"completed" uuid:"53260569-9ca3-4a74-bd03-73b183b7cf3e"]
[description:"verouiller table" end:"1591627396" entry:"1591403594" modified:"1591627396" project:"bd" status:"completed" uuid:"11010909-1a3e-4e6e-af3e-ccdfbca5d17e"]
[description:"fenetre popup" end:"1591627396" entry:"1591403613" modified:"1591627396" project:"bd" status:"completed" uuid:"d9aad3f8-d393-408b-ae74-bc82062d62fe"]
[description:"news" due:"1591040063" end:"1591403441" entry:"1590995111" imask:"9" modified:"1591403441" parent:"85a1355a-fba7-4838-a973-3cdf8a3c2774" project:"récapitulatif" recur:"daily" status:"completed" uuid:"47d1ade9-f812-4321-b577-a67786ec53b4"]
[description:"activite" due:"1590953663" end:"1591403441" entry:"1590995111" imask:"8" modified:"1591403441" parent:"94e7675a-47fc-4d1b-a6eb-bf902e54a20a" project:"récapitulatif" recur:"daily" status:"completed" uuid:"40a9b1bb-14c4-4508-a68b-8b9c4cf8020d"]
[description:"activite" due:"1591040063" end:"1591403441" entry:"1590995111" imask:"9" modified:"1591403441" parent:"94e7675a-47fc-4d1b-a6eb-bf902e54a20a" project:"récapitulatif" recur:"daily" status:"completed" uuid:"df7dc2e5-690e-4965-b5de-914e654df4a4"]
[description:"journal" due:"1590953663" end:"1591403442" entry:"1590995111" imask:"8" modified:"1591403442" parent:"a0726429-4072-46ec-86cf-eba8c2e0a84f" project:"récapitulatif" recur:"daily" status:"completed" uuid:"0fa17e6e-dc2e-4c94-a871-cfce0a242992"]
[description:"journal" due:"1591040063" end:"1591403442" entry:"1590995111" imask:"9" modified:"1591403442" parent:"a0726429-4072-46ec-86cf-eba8c2e0a84f" project:"récapitulatif" recur:"daily" status:"completed" uuid:"0e742c2c-d604-47cb-940a-f93a9ffbb461"]
[description:"planning" due:"1590953663" end:"1591403442" entry:"1590995111" imask:"8" modified:"1591403442" parent:"9b8adc60-1c3d-4eb9-b825-ccdb076d998f" project:"récapitulatif" recur:"daily" status:"completed" uuid:"e3c25ba2-af1c-404c-9c5f-084f94f781c1"]
[description:"planning" due:"1591040063" end:"1591403442" entry:"1590995111" imask:"9" modified:"1591403442" parent:"9b8adc60-1c3d-4eb9-b825-ccdb076d998f" project:"récapitulatif" recur:"daily" status:"completed" uuid:"034b4400-ccf3-4158-882a-c1a7449d168a"]
[description:"sac" due:"1590953663" end:"1591403442" entry:"1590995111" imask:"8" modified:"1591403442" parent:"f0097465-683e-459f-af1f-562c07f8ce86" project:"récapitulatif" recur:"daily" status:"completed" uuid:"4db91f43-11a0-4874-8534-5723d59bd01f"]
[description:"sac" due:"1591040063" end:"1591403442" entry:"1590995111" imask:"9" modified:"1591403442" parent:"f0097465-683e-459f-af1f-562c07f8ce86" project:"récapitulatif" recur:"daily" status:"completed" uuid:"9b4787eb-0475-45c3-ac93-feba9d556eda"]
[description:"kinyarwanda" due:"1590953663" end:"1591403442" entry:"1590995111" imask:"8" modified:"1591403442" parent:"de1074a8-8fc4-4dba-9ba8-21afc8a8e59d" project:"récapitulatif" recur:"daily" status:"completed" uuid:"364000b3-1f75-422f-aca4-78f93c3b1b6e"]
